Feb 1, 2013 3:34:11 PM org.apache.karaf.main.SimpleFileLock lock
INFO: locking
2013-02-01 15:34:11,942 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.admin.command is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.1.0]
2013-02-01 15:34:11,950 | INFO  | FelixStartLevel  | Server                           | lipse.jetty.util.log.JavaUtilLog   75 | 58 - org.eclipse.jetty.util - 7.6.7.v20120910 | jetty-7.6.7.v20120910
2013-02-01 15:34:11,950 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.dev is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 15:34:11,965 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.jaas.command is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.1.0]
2013-02-01 15:34:11,972 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.jaas.modules is waiting for namespace handlers [http://aries.apache.org/blueprint/xmlns/blueprint-ext/v1.0.0, http://karaf.apache.org/xmlns/jaas/v1.0.0]
2013-02-01 15:34:11,979 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.osgi is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 15:34:11,986 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.features.management is waiting for dependencies [(objectClass=javax.management.MBeanServer), (objectClass=org.apache.karaf.features.FeaturesService)]
2013-02-01 15:34:11,988 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.packages is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 15:34:11,990 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.admin.core is waiting for namespace handlers [http://aries.apache.org/blueprint/xmlns/blueprint-ext/v1.0.0]
2013-02-01 15:34:11,993 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.deployer.kar is waiting for namespace handlers [http://aries.apache.org/blueprint/xmlns/blueprint-ext/v1.0.0]
2013-02-01 15:34:12,042 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.config is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.1.0]
2013-02-01 15:34:12,043 | INFO  | FelixStartLevel  | JettyServerImpl                  | e.jetty.internal.JettyServerImpl  127 | 76 - org.ops4j.pax.web.pax-web-jetty - 1.1.3 | Pax Web available at [0.0.0.0]:[8080]
2013-02-01 15:34:12,048 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.management.mbeans.system is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
2013-02-01 15:34:12,055 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.management.mbeans.bundles is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
2013-02-01 15:34:12,061 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.management.mbeans.services is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
2013-02-01 15:34:12,070 | INFO  | FelixStartLevel  | AbstractConnector                | lipse.jetty.util.log.JavaUtilLog   75 | 58 - org.eclipse.jetty.util - 7.6.7.v20120910 | Started NIOSocketConnectorWrapper@0.0.0.0:8080
2013-02-01 15:34:12,157 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.management.mbeans.log is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
2013-02-01 15:34:12,169 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.management.mbeans.packages is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
2013-02-01 15:34:12,210 | INFO  | rint Extender: 1 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.management.mbeans.config is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
2013-02-01 15:34:12,267 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.management.mbeans.dev is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
2013-02-01 15:34:12,268 | INFO  | rint Extender: 2 | BlueprintContainerImpl           | container.BlueprintContainerImpl  294 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.shell.ssh is waiting for namespace handlers [http://karaf.apache.org/xmlns/shell/v1.0.0]
2013-02-01 15:34:12,317 | INFO  | FelixStartLevel  | HttpServiceFactoryImpl           | .internal.HttpServiceFactoryImpl   33 | 75 - org.ops4j.pax.web.pax-web-runtime - 1.1.3 | Binding bundle: [org.apache.karaf.webconsole.console [86]] to http service
2013-02-01 15:34:12,405 | WARN  | rint Extender: 2 | MavenRepositoryURL               | maven.commons.MavenRepositoryURL  116 | 1 - org.ops4j.pax.url.mvn - 1.3.5 | Repository spec file:C:\apache-karaf-2.3.0/system/ does not contain an identifier. This is deprecated & discouraged & just evil.
2013-02-01 15:34:12,406 | WARN  | rint Extender: 2 | MavenRepositoryURL               | maven.commons.MavenRepositoryURL  116 | 1 - org.ops4j.pax.url.mvn - 1.3.5 | Repository spec file:C:\apache-karaf-2.3.0/local-repo/ does not contain an identifier. This is deprecated & discouraged & just evil.
2013-02-01 15:34:12,682 | INFO  | g.ops4j.pax.web) | Server                           | lipse.jetty.util.log.JavaUtilLog   75 | 58 - org.eclipse.jetty.util - 7.6.7.v20120910 | jetty-7.6.7.v20120910
2013-02-01 15:34:12,686 | INFO  | g.ops4j.pax.web) | AbstractConnector                | lipse.jetty.util.log.JavaUtilLog   75 | 58 - org.eclipse.jetty.util - 7.6.7.v20120910 | Started BlockingChannelConnector@0.0.0.0:8181
2013-02-01 15:34:12,687 | INFO  | g.ops4j.pax.web) | JettyServerImpl                  | e.jetty.internal.JettyServerImpl  127 | 76 - org.ops4j.pax.web.pax-web-jetty - 1.1.3 | Pax Web available at [0.0.0.0]:[8181]
2013-02-01 15:34:12,688 | WARN  | g.ops4j.pax.web) | NIOSocketConnectorWrapper        | ternal.NIOSocketConnectorWrapper   45 | 76 - org.ops4j.pax.web.pax-web-jetty - 1.1.3 | Connection on port 8181 cannot be open. Exception:java.net.BindException: Address already in use: bind Reason: Address already in use: bind
2013-02-01 15:34:12,713 | INFO  | g.ops4j.pax.web) | ContextHandler                   | lipse.jetty.util.log.JavaUtilLog   75 | 58 - org.eclipse.jetty.util - 7.6.7.v20120910 | started HttpServiceContext{httpContext=org.apache.felix.webconsole.internal.servlet.OsgiManagerHttpContext@1533b2c}
2013-02-01 15:34:12,728 | INFO  | rint Extender: 1 | KarArtifactInstaller             | eployer.kar.KarArtifactInstaller   73 | 44 - org.apache.karaf.deployer.kar - 2.3.0 | Karaf archives will be extracted to C:\apache-karaf-2.3.0/system
2013-02-01 15:34:12,729 | INFO  | rint Extender: 1 | KarArtifactInstaller             | eployer.kar.KarArtifactInstaller   74 | 44 - org.apache.karaf.deployer.kar - 2.3.0 | Timestamps for Karaf archives will be extracted to C:\apache-karaf-2.3.0/system\.timestamps
2013-02-01 15:34:12,877 | INFO  | raf-2.3.0/deploy | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\deploy\myrealm.xml
2013-02-01 15:34:13,519 | INFO  | JMX OSGi Agent   | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | Registering org.osgi.jmx.framework.FrameworkMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@e6ff0d with name osgi.core:type=framework,version=1.5
2013-02-01 15:34:13,520 | INFO  | JMX OSGi Agent   | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | Registering org.osgi.jmx.framework.BundleStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@e6ff0d with name osgi.core:type=bundleState,version=1.5
2013-02-01 15:34:13,563 | INFO  | rint Extender: 2 | SecurityUtils                    | e.sshd.common.util.SecurityUtils   80 | 24 - org.apache.sshd.core - 0.8.0 | BouncyCastle not registered, using the default JCE provider
2013-02-01 15:34:13,627 | INFO  | JMX OSGi Agent   | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | Registering org.osgi.jmx.framework.ServiceStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@e6ff0d with name osgi.core:type=serviceState,version=1.5
2013-02-01 15:34:13,629 | INFO  | JMX OSGi Agent   | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | Registering org.osgi.jmx.service.cm.ConfigurationAdminMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@e6ff0d with name osgi.compendium:service=cm,version=1.3
2013-02-01 15:34:13,629 | INFO  | JMX OSGi Agent   | core                             | ?                                   ? | 29 - org.apache.aries.jmx.core - 1.0.1 | Registering org.osgi.jmx.framework.PackageStateMBean to MBeanServer com.sun.jmx.mbeanserver.JmxMBeanServer@e6ff0d with name osgi.core:type=packageState,version=1.5
2013-02-01 15:34:13,632 | INFO  | rint Extender: 1 | HttpServiceFactoryImpl           | .internal.HttpServiceFactoryImpl   33 | 75 - org.ops4j.pax.web.pax-web-runtime - 1.1.3 | Binding bundle: [org.apache.karaf.deployer.features [35]] to http service
2013-02-01 15:34:13,722 | INFO  | rint Extender: 1 | ContextHandler                   | lipse.jetty.util.log.JavaUtilLog   75 | 58 - org.eclipse.jetty.util - 7.6.7.v20120910 | started HttpServiceContext{httpContext=DefaultHttpContext{bundle=org.apache.karaf.deployer.features [35]}}
2013-02-01 15:34:13,956 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | container.BlueprintContainerImpl  330 | 7 - org.apache.aries.blueprint.core - 1.0.1 | Bundle org.apache.karaf.features.management is waiting for dependencies [(objectClass=javax.management.MBeanServer)]
Feb 1, 2013 4:01:59 PM org.apache.karaf.main.SimpleFileLock lock
INFO: locking
2013-02-01 16:02:00,722 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.management.cfg
2013-02-01 16:02:00,753 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.features.cfg
2013-02-01 16:02:00,758 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.features.repos.cfg
2013-02-01 16:02:00,760 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.ops4j.pax.logging.cfg
2013-02-01 16:02:00,766 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.jaas.cfg
2013-02-01 16:02:00,771 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.karaf.log.cfg
2013-02-01 16:02:00,773 | INFO  | FelixStartLevel  | fileinstall                      | ?                                   ? | 6 - org.apache.felix.fileinstall - 3.2.6 | Installed C:\apache-karaf-2.3.0\etc\org.apache.felix.fileinstall-deploy.cfg
